qW:,qX:,qY:,qZ:,direction
-0.075,0.190,0.970,-0.132,-100,
-0.079,0.190,0.973,-0.108,-100,
-0.071,0.191,0.975,-0.090,-100,
-0.052,0.193,0.977,-0.081,-100,
-0.032,0.197,0.977,-0.078,-100,
-0.006,0.208,0.975,-0.073,-100,
0.005,0.208,0.976,-0.070,-100,
0.003,0.208,0.976,-0.068,-100,
-0.004,0.207,0.976,-0.066,-100,
-0.014,0.204,0.977,-0.064,-100,
-0.025,0.199,0.978,-0.061,-100,
-0.033,0.197,0.978,-0.059,-100,
-0.040,0.197,0.978,-0.058,-100,
-0.044,0.198,0.978,-0.058,-100,
-0.047,0.197,0.978,-0.058,-100,
-0.047,0.196,0.978,-0.057,-100,
-0.043,0.196,0.978,-0.056,-100,
-0.041,0.195,0.978,-0.055,-100,
-0.043,0.195,0.978,-0.056,-100,
-0.046,0.193,0.978,-0.056,-100,
-0.047,0.193,0.979,-0.055,-100,
-0.049,0.193,0.978,-0.055,-100,
-0.050,0.193,0.978,-0.055,-100,
-0.051,0.194,0.978,-0.055,-100,
-0.050,0.194,0.978,-0.055,-100,
-0.049,0.195,0.978,-0.056,-100,
-0.051,0.194,0.978,-0.056,-100,
-0.050,0.195,0.978,-0.055,-100,
-0.049,0.195,0.978,-0.056,-100,
-0.049,0.195,0.978,-0.056,-100,
-0.050,0.196,0.978,-0.057,-100,
-0.050,0.196,0.978,-0.057,-100,